iter	Logloss
0	0.6914576407
1	0.6901095092
2	0.6883495535
3	0.6870666504
4	0.6855178949
5	0.6839720748
6	0.6824864977
7	0.681325665
8	0.6798958582
9	0.6788023505
10	0.6775052835
11	0.6760338703
12	0.6746029453
13	0.6733350914
14	0.6720805627
15	0.6704357817
16	0.668927002
17	0.6672092117
18	0.6658168647
19	0.6646568706
20	0.6634764693
21	0.6623442905
22	0.6609930839
23	0.6595444075
24	0.6586358223
25	0.6572338308
26	0.6564683288
27	0.6553840462
28	0.6544423344
29	0.6537618157
30	0.6531175453
31	0.6521077163
32	0.6506553592
33	0.6493612275
34	0.6480164972
35	0.6472067331
36	0.6466362174
37	0.645944144
38	0.6452885984
39	0.6441755688
40	0.6435660093
41	0.642757177
42	0.6416081319
43	0.6403611045
44	0.6392956916
45	0.6385048903
46	0.6380003485
47	0.6370402795
48	0.6361421774
49	0.6351769367
50	0.6342518115
51	0.6331317465
52	0.6325664025
53	0.6318879339
54	0.6310016661
55	0.6300381027
56	0.6294022655
57	0.6287376811
58	0.6280688104
59	0.6271090209
60	0.6261282651
61	0.6254354462
62	0.6247885668
63	0.6239834152
64	0.6231911696
65	0.6227068952
66	0.6221306488
67	0.621658861
68	0.620963433
69	0.6201407629
70	0.6197275409
71	0.6190346754
72	0.6186328684
73	0.6179684704
74	0.6173093374
75	0.6168050751
76	0.6165156008
77	0.6155598648
78	0.6149435961
79	0.6144489317
80	0.6137102666
81	0.6129970405
82	0.6123823093
83	0.6116752333
84	0.6111304829
85	0.6104189341
86	0.6099224061
87	0.6093000805
88	0.6088325792
89	0.6087536528
90	0.6082844741
91	0.607624549
92	0.607273061
93	0.6069710535
94	0.6066095017
95	0.6060662888
96	0.6053956942
97	0.6048633372
98	0.604640256
99	0.6039746466
100	0.6034360463
101	0.6027718347
102	0.6024297583
103	0.6020398788
104	0.6012340284
105	0.6005604984
106	0.6002888221
107	0.5998436382
108	0.5995870576
109	0.5987919698
110	0.5981949435
111	0.5978054367
112	0.597218148
113	0.596446263
114	0.5960924454
115	0.5953988811
116	0.5948469555
117	0.594258968
118	0.593916379
119	0.5932178759
120	0.5927619293
121	0.5923300707
122	0.5918453304
123	0.591369163
124	0.590725079
125	0.5900437683
126	0.5898492478
127	0.5894332303
128	0.5889397774
129	0.5885105745
130	0.5879496101
131	0.5874490752
132	0.5871578304
133	0.5865553062
134	0.5862554885
135	0.5857531831
136	0.5854741453
137	0.5851250801
138	0.5847268607
139	0.5843726704
140	0.5841685521
141	0.5836238948
142	0.5832863378
143	0.5830737864
144	0.5828003862
145	0.5823515215
146	0.5817626487
147	0.5812976633
148	0.5808167902
149	0.5803786882
150	0.5799883893
151	0.5796519971
152	0.579188689
153	0.5786774846
154	0.5780946222
155	0.5775857474
156	0.577128869
157	0.5765957665
158	0.5761095353
159	0.5757288809
160	0.5753085304
161	0.5747901043
162	0.5743352293
163	0.5738973137
164	0.5732243895
165	0.5727963047
166	0.5721481673
167	0.5718551519
168	0.5716163228
169	0.5710988751
170	0.5706574185
171	0.570184
172	0.5698228676
173	0.5693391057
174	0.5687604365
175	0.5684723599
176	0.5682590164
177	0.5678802257
178	0.5672739742
179	0.5670180925
180	0.5667139417
181	0.5664378392
182	0.5661736641
183	0.5658099691
184	0.5654548004
185	0.5650910589
186	0.5648303316
187	0.5641144032
188	0.5638220401
189	0.5632457937
190	0.5629452305
191	0.5626541254
192	0.562205913
193	0.5617826738
194	0.5615235307
195	0.5611672904
196	0.5608528894
197	0.5604200523
198	0.5599228255
199	0.5595847093
200	0.5593563633
201	0.5589353605
202	0.5586195618
203	0.5584162355
204	0.5579077335
205	0.5577835199
206	0.5576607042
207	0.5575609047
208	0.5572114202
209	0.5569470588
210	0.5567751353
211	0.5566254827
212	0.5563594905
213	0.5560219801
214	0.5557339967
215	0.5554393972
216	0.5550196058
217	0.5547914461
218	0.5545588137
219	0.5543137412
220	0.5539755785
221	0.5537299469
222	0.5534241654
223	0.5532048582
224	0.5529285693
225	0.5524808228
226	0.5522042544
227	0.5518817465
228	0.5515019308
229	0.5512188395
230	0.5509537791
231	0.5504721605
232	0.5500543725
233	0.5495571457
234	0.5490712406
235	0.5487551624
236	0.548307975
237	0.5480022867
238	0.5476323019
239	0.5473003824
240	0.5467795802
241	0.5463803823
242	0.5461398292
243	0.5459456815
244	0.5457792559
245	0.5455470893
246	0.545367851
247	0.5450308064
248	0.5446764298
249	0.5444318699
250	0.5442560793
251	0.5438629383
252	0.5436852375
253	0.5432370251
254	0.5429530952
255	0.5426051482
256	0.5424643014
257	0.5422076276
258	0.541877665
259	0.5416058489
260	0.5413354306
261	0.5410952037
262	0.5407942211
263	0.5405223118
264	0.5402739314
265	0.5399096773
266	0.5396627412
267	0.5393716827
268	0.5391386775
269	0.538892347
270	0.5385603344
271	0.5381575956
272	0.5378919762
273	0.5376180634
274	0.5372626618
275	0.5370717289
276	0.5366259393
277	0.5363121906
278	0.5358459939
279	0.5354911047
280	0.5352480357
281	0.5350107906
282	0.5346299033
283	0.5343772364
284	0.534116975
285	0.5339210103
286	0.5337370661
287	0.5334801594
288	0.5330185286
289	0.5327247678
290	0.5325376088
291	0.5323756094
292	0.5320475571
293	0.5316311203
294	0.5314274213
295	0.5310937314
296	0.5307556152
297	0.5305548981
298	0.5300878161
299	0.5298784329
300	0.5297461124
301	0.5293688592
302	0.5292108201
303	0.5288288146
304	0.5284744845
305	0.528184917
306	0.5280106639
307	0.5277717416
308	0.5275617527
309	0.5272302526
310	0.5268721486
311	0.5266632313
312	0.5264405229
313	0.5261635817
314	0.5258999657
315	0.5256682185
316	0.5253188737
317	0.5249914271
318	0.524815124
319	0.5246000101
320	0.5243532603
321	0.523978989
322	0.5236726484
323	0.5232540218
324	0.5231542223
325	0.5228968497
326	0.5226365417
327	0.5224058661
328	0.5220690079
329	0.5219668789
330	0.5217981237
331	0.5215830563
332	0.5210778156
333	0.5208066984
334	0.5204812086
335	0.5201843728
336	0.5199622234
337	0.5197166851
338	0.5195264045
339	0.5193282965
340	0.5190285253
341	0.5188934093
342	0.5186934376
343	0.5185291552
344	0.5183477271
345	0.5180755382
346	0.5178501741
347	0.5175777523
348	0.517364269
349	0.517128049
350	0.5168482191
351	0.5165934089
352	0.5163905952
353	0.5160364515
354	0.5157888631
355	0.5155362894
356	0.5153032376
357	0.5151534452
358	0.514893277
359	0.5146585945
360	0.5144837824
