iter	Passed	Remaining
0	165	164934
1	167	83548
2	169	56299
3	171	42684
4	173	34498
5	175	29114
6	178	25295
7	180	22378
8	184	20344
9	187	18576
10	191	17196
11	194	16027
12	198	15106
13	202	14256
14	204	13449
15	207	12739
16	209	12139
17	212	11609
18	214	11100
19	216	10629
20	218	10203
21	220	9822
22	223	9478
23	225	9154
24	226	8849
25	228	8570
26	230	8308
27	232	8067
28	234	7850
29	236	7646
30	238	7464
31	240	7281
32	242	7110
33	244	6944
34	246	6785
35	247	6638
36	249	6505
37	251	6374
38	254	6260
39	255	6140
40	257	6025
41	259	5918
42	261	5813
43	262	5713
44	265	5625
45	266	5536
46	268	5451
47	270	5368
48	272	5287
49	274	5211
50	276	5139
51	277	5067
52	280	5003
53	282	4941
54	284	4885
55	286	4826
56	288	4765
57	289	4708
58	291	4651
59	293	4599
60	295	4550
61	297	4502
62	299	4460
63	301	4414
64	303	4370
65	305	4324
66	307	4280
67	309	4237
68	311	4199
69	313	4162
70	332	4348
71	334	4308
72	336	4268
73	337	4228
74	339	4190
75	341	4154
76	344	4125
77	346	4097
78	348	4062
79	350	4027
80	352	3998
81	354	3969
82	356	3939
83	358	3911
84	360	3883
85	362	3856
86	364	3825
87	366	3796
88	368	3769
89	373	3780
90	375	3755
91	377	3730
92	379	3703
93	381	3680
94	383	3655
95	385	3631
96	387	3607
97	389	3586
98	392	3567
99	393	3545
100	395	3522
101	397	3501
102	399	3478
103	401	3457
104	403	3440
105	405	3422
106	407	3404
107	410	3386
108	411	3367
109	413	3348
110	415	3328
111	417	3309
112	419	3293
113	421	3277
114	423	3262
115	425	3245
116	427	3229
117	430	3214
118	432	3199
119	434	3186
120	436	3173
121	439	3159
122	441	3145
123	443	3134
124	446	3127
125	449	3118
126	452	3107
127	454	3098
128	456	3084
129	459	3072
130	461	3059
131	463	3047
132	466	3037
133	469	3032
134	471	3019
135	474	3012
136	476	3000
137	478	2989
138	480	2979
139	483	2970
140	485	2958
141	487	2946
142	489	2934
143	491	2921
144	493	2910
145	495	2900
146	498	2891
147	500	2880
148	502	2870
149	504	2858
150	506	2846
151	508	2836
152	510	2828
153	513	2819
154	515	2809
155	517	2797
156	519	2787
157	521	2776
158	522	2765
159	525	2756
160	527	2749
161	529	2740
162	531	2729
163	533	2718
164	535	2708
165	537	2697
166	538	2687
167	541	2679
168	543	2672
169	545	2662
170	547	2652
171	548	2642
172	550	2633
173	552	2623
174	554	2615
175	556	2607
176	559	2600
177	561	2591
178	563	2582
179	564	2573
180	566	2564
181	568	2555
182	570	2548
183	572	2541
184	574	2532
185	576	2523
186	578	2515
187	580	2506
188	582	2498
189	583	2489
190	586	2483
191	588	2478
192	590	2471
193	592	2463
194	594	2455
195	596	2447
196	598	2438
197	600	2431
198	602	2425
199	605	2420
200	606	2412
201	608	2404
202	610	2397
203	612	2389
204	614	2382
205	616	2377
206	618	2371
207	620	2364
208	622	2357
209	624	2350
210	626	2342
211	628	2335
212	630	2331
213	633	2327
214	636	2324
215	639	2320
216	641	2314
217	643	2307
218	644	2300
219	647	2296
220	649	2290
221	651	2284
222	653	2277
223	655	2269
224	657	2263
225	658	2256
226	660	2250
227	663	2245
228	665	2240
229	667	2234
230	669	2227
231	670	2221
232	672	2214
233	674	2208
234	676	2203
235	678	2197
236	681	2193
237	683	2188
238	685	2181
239	687	2175
240	688	2169
241	690	2163
242	692	2158
243	695	2154
244	697	2148
245	699	2143
246	700	2137
247	702	2130
248	704	2124
249	706	2119
250	708	2114
251	711	2111
252	713	2107
253	716	2103
254	718	2098
255	719	2092
256	722	2087
257	724	2082
258	726	2079
259	728	2073
260	730	2068
261	732	2062
262	734	2057
263	735	2051
264	738	2048
265	740	2042
266	742	2038
267	744	2033
268	746	2027
269	748	2022
270	749	2017
271	751	2012
272	754	2008
273	756	2004
274	758	2000
275	760	1996
276	762	1991
277	764	1986
278	766	1980
279	768	1977
280	771	1973
281	773	1969
282	775	1964
283	777	1959
284	779	1954
285	780	1949
286	783	1945
287	785	1941
288	787	1937
289	789	1932
290	791	1927
291	792	1922
292	794	1917
293	796	1912
294	798	1908
295	800	1905
296	802	1900
297	804	1895
298	806	1891
299	808	1886
300	810	1881
301	812	1877
302	814	1873
303	816	1870
304	818	1865
305	820	1861
306	822	1857
307	824	1852
308	826	1847
309	828	1844
310	830	1840
311	833	1837
312	835	1832
313	836	1828
314	838	1824
315	840	1819
316	842	1815
317	844	1812
318	847	1808
319	849	1804
320	850	1799
321	852	1795
322	854	1790
323	856	1786
324	858	1782
325	860	1778
326	862	1775
327	864	1772
328	866	1768
329	868	1763
330	870	1759
331	872	1755
332	874	1751
333	876	1748
334	878	1744
335	880	1740
336	882	1736
